0.27,0.11,0.00
0.20,0.29,0.00
0.25,0.21,0.00
0.28,0.13,0.00
0.22,0.20,0.00
0.18,0.27,0.00
0.12,0.26,0.00
0.22,0.28,0.00
0.20,0.19,0.00
0.25,0.27,0.00
0.26,0.19,0.00
0.26,0.30,0.00
0.17,0.29,0.00
0.25,0.10,0.00
0.25,0.19,0.00
0.26,0.30,0.00
0.29,0.19,0.00
0.18,0.13,0.00
0.18,0.21,0.00
0.12,0.21,0.00
0.98,0.95,1.00
0.79,0.78,1.00
0.70,0.98,1.00
0.97,0.74,1.00
0.97,0.71,1.00
0.92,0.75,1.00
0.76,0.78,1.00
0.70,0.88,1.00
0.83,0.74,1.00
0.91,0.91,1.00
0.96,0.93,1.00
0.91,0.79,1.00
0.99,0.84,1.00
0.96,0.87,1.00
0.84,0.78,1.00
0.83,0.79,1.00
0.72,0.87,1.00
0.90,0.90,1.00
0.92,0.96,1.00
0.97,0.93,1.00
